iter	Passed	Remaining
1436	106006	262839
1437	106074	262750
1438	106141	262660
1439	106212	262580
1440	106283	262501
1441	106365	262446
1442	106447	262393
1443	106522	262323
1444	106597	262251
1445	106664	262162
1446	106740	262092
1447	106817	262028
1448	106893	261959
1449	106966	261883
1450	107033	261792
1451	107104	261711
1452	107182	261649
1453	107247	261554
1454	107316	261468
1455	107383	261378
1456	107449	261287
1457	107518	261201
1458	107596	261136
1459	107672	261068
1460	107734	260967
1461	107803	260882
1462	107883	260821
1463	107942	260712
1464	108006	260616
1465	108082	260548
1466	108163	260492
1467	108230	260402
1468	108309	260341
1469	108388	260279
1470	108452	260182
1471	108520	260095
1472	108580	259989
1473	108645	259893
1474	108716	259813
1475	108790	259740
1476	108868	259678
1477	108945	259610
1478	109011	259518
1479	109084	259443
1480	109163	259382
1481	109228	259289
1482	109301	259213
1483	109387	259169
1484	109460	259094
1485	109541	259036
1486	109608	258947
1487	109687	258885
1488	109745	258774
1489	109818	258699
1490	109892	258626
1491	109961	258542
1492	110022	258438
1493	110092	258356
1494	110165	258280
1495	110221	258166
1496	110292	258085
1497	110358	257994
1498	110426	257908
1499	110496	257824
1500	110562	257733
1501	110639	257668
1502	110712	257592
1503	110788	257524
1504	110867	257463
1505	110942	257391
1506	111004	257292
1507	111081	257226
1508	111158	257160
1509	111236	257095
1510	111298	256995
1511	111381	256943
1512	111448	256853
1513	111514	256762
1514	111589	256692
1515	111655	256600
1516	111718	256502
1517	111785	256414
1518	111857	256336
1519	111927	256254
1520	111991	256158
1521	112072	256103
1522	112148	256035
1523	112211	255937
1524	112289	255873
1525	112356	255784
1526	112431	255712
1527	112502	255634
1528	112570	255548
1529	112646	255478
1530	112716	255398
1531	112785	255312
1532	112867	255258
1533	112936	255173
1534	113004	255089
1535	113076	255010
1536	113154	254946
1537	113224	254865
1538	113292	254778
1539	113361	254694
1540	113435	254623
1541	113510	254551
1542	113589	254489
1543	113664	254420
1544	113748	254370
1545	113812	254274
1546	113877	254180
1547	113945	254095
1548	114021	254028
1549	114095	253955
1550	114163	253868
1551	114238	253799
1552	114310	253721
1553	114387	253655
1554	114452	253562
1555	114535	253509
1556	114600	253417
1557	114673	253340
1558	114745	253263
1559	114814	253179
1560	114885	253102
1561	114957	253024
1562	115028	252944
1563	115107	252882
1564	115176	252798
1565	115251	252729
1566	115328	252663
1567	115388	252560
1568	115459	252480
1569	115537	252415
1570	115614	252349
1571	115691	252283
1572	115767	252216
1573	115853	252168
1574	115936	252116
1575	115997	252015
1576	116056	251909
1577	116135	251846
1578	116214	251786
1579	116298	251734
1580	116364	251644
1581	116435	251565
1582	116508	251490
1583	116586	251426
1584	116661	251355
1585	116739	251291
1586	116807	251206
1587	116887	251146
1588	116965	251082
1589	117044	251019
1590	117128	250969
1591	117208	250909
1592	117285	250842
1593	117351	250752
1594	117429	250687
1595	117507	250624
1596	117582	250552
1597	117645	250456
1598	117720	250386
1599	117789	250303
1600	117872	250248
1601	117952	250189
1602	118028	250121
1603	118107	250058
1604	118178	249979
1605	118261	249925
1606	118344	249871
1607	118413	249788
1608	118496	249734
1609	118574	249669
1610	118649	249597
1611	118716	249510
1612	118796	249451
1613	118876	249390
1614	118936	249288
1615	119001	249197
1616	119070	249112
1617	119145	249041
1618	119211	248951
1619	119279	248867
1620	119354	248796
1621	119412	248691
1622	119488	248621
1623	119562	248547
1624	119640	248484
1625	119708	248399
1626	119779	248319
1627	119850	248241
1628	119934	248187
1629	120002	248103
1630	120069	248016
1631	120131	247918
1632	120195	247824
1633	120274	247762
1634	120345	247684
1635	120414	247600
1636	120480	247511
1637	120558	247446
1638	120627	247364
1639	120697	247282
1640	120760	247187
1641	120828	247103
1642	120901	247026
1643	120978	246960
1644	121050	246883
1645	121125	246813
1646	121203	246748
1647	121263	246646
1648	121333	246566
1649	121413	246505
1650	121481	246421
1651	121564	246366
1652	121640	246298
1653	121705	246207
1654	121791	246157
1655	121860	246075
1656	121937	246009
1657	122002	245917
1658	122083	245858
1659	122158	245789
